epoch,phase,source_best_epoch,total_loss,data_loss,ode_loss,ic_loss,forcing_loss,smooth_loss,d_smooth_loss,weighted_data_loss,weighted_ode_loss,weighted_ic_loss,weighted_forcing_loss,weighted_smooth_loss,weighted_d_smooth_loss,train_R2,all_R2,test_R2,optimizer_loss_before_step,summary_train_R2,summary_RMSE,summary_MAE
1000,train,,0.01572735607624054,0.010907908901572227,95.80335998535156,0.0002869917661882937,0.005735797807574272,6.121684691606788e-06,9.580703044775873e-05,0.010907908901572227,0.004790167789906263,2.869917625503149e-05,5.735797685701982e-07,6.121684936744032e-09,4.790351448846764e-10,0.8702309440540719,0.8702309440540719,,0.01567872241139412,,,
1025,train,,0.01563890464603901,0.01089616771787405,94.39892578125,0.00022229675960261375,0.005561132915318012,5.859117209183751e-06,9.442348527954891e-05,0.01089616771787405,0.004719946067780256,2.2229676687857136e-05,5.561132638831623e-07,5.859117635509392e-09,4.721174007293882e-10,0.8711252807197261,0.8711252807197261,,0.01564600132405758,,,
1050,train,,0.015658065676689148,0.010787504725158215,97.00164794921875,0.00019942254584748298,0.005308432504534721,5.446182967716595e-06,9.704486728878692e-05,0.010787504725158215,0.004850082099437714,1.994225567614194e-05,5.308432378114958e-07,5.446183060087151e-09,4.852243051800542e-10,0.8709756455119599,0.8709756455119599,,0.015646204352378845,,,
1075,train,,0.01574687287211418,0.010880710557103157,96.73523712158203,0.00028878910234197974,0.005151257384568453,5.175689238967607e-06,9.671740554040298e-05,0.010880710557103157,0.004836761858314276,2.8878910597995855e-05,5.151257482793881e-07,5.175689654635107e-09,4.835870037744883e-10,0.8687450190076778,0.8687450190076778,,0.01566918194293976,,,
1100,train,,0.015633797273039818,0.010876134037971497,94.70191192626953,0.00022033175628166646,0.005292078945785761,5.31348496224382e-06,9.474196122027934e-05,0.010876134037971497,0.004735095426440239,2.2033176719560288e-05,5.292079094942892e-07,5.3134852073810634e-09,4.737097936136081e-10,0.8711695880037335,0.8711695880037335,,0.015638887882232666,,,
1125,train,,0.015746600925922394,0.01106566097587347,92.92837524414062,0.0003396923711989075,0.0054679554887115955,5.610458629234927e-06,9.292370668845251e-05,0.01106566097587347,0.0046464186161756516,3.396923784748651e-05,5.467955475069175e-07,5.6104587642380466e-09,4.646185103318601e-10,0.8658091678210864,0.8658091678210864,,0.01599803939461708,,,
1150,train,,0.01571063883602619,0.011003082618117332,93.60115814208984,0.0002694441645871848,0.005477048456668854,5.692827016900992e-06,9.369511826662347e-05,0.011003082618117332,0.004680057987570763,2.694441718631424e-05,5.47704814835015e-07,5.692827098613407e-09,4.684755916528616e-10,0.8709590447902141,0.8709590447902141,,0.015672940760850906,,,
1175,train,,0.015628324821591377,0.010895196348428726,94.23908996582031,0.00020634096290450543,0.005350684281438589,5.619581770588411e-06,9.43654085858725e-05,0.010895196348428726,0.004711954388767481,2.0634097381844185e-05,5.350684091354196e-07,5.619582132965206e-09,4.718270218972975e-10,0.871111743088014,0.871111743088014,,0.015631256625056267,,,
1200,train,,0.015617490746080875,0.010848144069314003,94.9963150024414,0.00019002961926162243,0.005219397600740194,5.5348873502225615e-06,9.514176053926349e-05,0.010848144069314003,0.004749815445393324,1.9002962289960124e-05,5.219397394284897e-07,5.5348876593086516e-09,4.757088056805969e-10,0.8713944239278517,0.8713944239278517,,0.015617246739566326,,,
1225,train,,0.01573500782251358,0.010935358703136444,95.34638214111328,0.0003180638304911554,0.005172723904252052,5.615422651317203e-06,9.54245770117268e-05,0.010935358703136444,0.0047673191875219345,3.180638304911554e-05,5.172723831492476e-07,5.6154227934257506e-09,4.77122896747062e-10,0.8657521965373742,0.8657521965373742,,0.01574566215276718,,,
1250,train,,0.0156442578881979,0.010824715718626976,95.9328842163086,0.00022341794101521373,0.005497487727552652,6.280439720285358e-06,9.609171684132889e-05,0.010824715718626976,0.004796644207090139,2.2341793737723492e-05,5.497487336469931e-07,6.2804401679272814e-09,4.804585618245483e-10,0.8716412149993816,0.8716412149993816,,0.01563992165029049,,,
1275,train,,0.015611907467246056,0.010881020687520504,94.22271728515625,0.00019150538719259202,0.0059203277342021465,7.172479854489211e-06,9.441885777050629e-05,0.010881020687520504,0.004711135756224394,1.9150538719259202e-05,5.920327339481446e-07,7.172480387396263e-09,4.720942525793248e-10,0.8712685767632885,0.8712685767632885,,0.015612778253853321,,,
1300,train,,0.015869103372097015,0.011332564055919647,89.91212463378906,0.00040317545062862337,0.006093168631196022,7.674459993722849e-06,9.010247595142573e-05,0.011332564055919647,0.004495606292039156,4.031754724564962e-05,6.093168281040562e-07,7.67446017846396e-09,4.5051237740345584e-10,0.8644445712082949,0.8644445712082949,,0.016083627939224243,,,
1325,train,,0.01563405990600586,0.010860765352845192,94.9765396118164,0.00023861386580392718,0.005989584140479565,7.75797070673434e-06,9.52262053033337e-05,0.010860765352845192,0.00474882684648037,2.386138658039272e-05,5.989584224153077e-07,7.757971154376264e-09,4.761310234968619e-10,0.871618956999479,0.871618956999479,,0.015652941539883614,,,
1350,train,,0.015609699301421642,0.010912550613284111,93.54474639892578,0.0001931305741891265,0.005901671480387449,7.897634532127995e-06,9.383109136251733e-05,0.010912550613284111,0.004677237011492252,1.931305814650841e-05,5.901671329411329e-07,7.89763454633885e-09,4.691554367219908e-10,0.8713359317814255,0.8713359317814255,,0.015609378926455975,,,
1375,train,,0.015600397251546383,0.01089745294302702,93.68097686767578,0.00018281443044543266,0.006040604785084724,8.529224032827187e-06,9.399345435667783e-05,0.01089745294302702,0.00468404870480299,1.8281443772139028e-05,6.040604603185784e-07,8.529224437836547e-09,4.699672873087479e-10,0.8713689107409079,0.8713689107409079,,0.015600093640387058,,,
1400,train,,0.015729030594229698,0.011279076337814331,88.35208129882812,0.00031706492882221937,0.0063580479472875595,9.635439710109495e-06,8.858412184054032e-05,0.011279076337814331,0.004417603835463524,3.170649506500922e-05,6.358047812682344e-07,9.635440001432016e-09,4.429205890943422e-10,0.8664958040866505,0.8664958040866505,,0.015799609944224358,,,
